subscriber_id,cohort_month,activity_month,months_since_signup,watch_minutes,sessions
200021,2024-01-01,2024-07-01,6,302,6
200022,2024-01-01,2024-01-01,0,540,12
200022,2024-01-01,2024-02-01,1,532,9
200022,2024-01-01,2024-03-01,2,499,8
200023,2024-01-01,2024-01-01,0,689,10
200023,2024-01-01,2024-02-01,1,680,7
200023,2024-01-01,2024-03-01,2,606,10
200024,2024-01-01,2024-01-01,0,758,4
200024,2024-01-01,2024-02-01,1,695,8
200024,2024-01-01,2024-03-01,2,751,11
200024,2024-01-01,2024-04-01,3,645,5
200024,2024-01-01,2024-05-01,4,556,7
200025,2024-01-01,2024-01-01,0,404,5
200025,2024-01-01,2024-02-01,1,437,8
200025,2024-01-01,2024-03-01,2,394,5
200025,2024-01-01,2024-04-01,3,409,9
200025,2024-01-01,2024-05-01,4,488,4
200026,2024-01-01,2024-01-01,0,834,11
200026,2024-01-01,2024-02-01,1,819,8
200026,2024-01-01,2024-03-01,2,767,7
200027,2024-01-01,2024-01-01,0,378,11
200027,2024-01-01,2024-02-01,1,738,3
200027,2024-01-01,2024-03-01,2,551,8
200027,2024-01-01,2024-04-01,3,571,5
200028,2024-01-01,2024-01-01,0,588,8
200028,2024-01-01,2024-02-01,1,548,11
200028,2024-01-01,2024-03-01,2,552,4
200028,2024-01-01,2024-04-01,3,411,5
200029,2024-01-01,2024-01-01,0,453,11
200029,2024-01-01,2024-02-01,1,134,7
200029,2024-01-01,2024-03-01,2,138,7
200029,2024-01-01,2024-04-01,3,503,8
200029,2024-01-01,2024-05-01,4,129,8
200029,2024-01-01,2024-06-01,5,359,7
200029,2024-01-01,2024-07-01,6,252,4
200030,2024-01-01,2024-01-01,0,957,10
200031,2024-01-01,2024-01-01,0,262,5
200031,2024-01-01,2024-02-01,1,249,8
200032,2024-01-01,2024-01-01,0,323,9
200033,2024-01-01,2024-01-01,0,63,7
200033,2024-01-01,2024-02-01,1,147,12
200033,2024-01-01,2024-03-01,2,344,3
200033,2024-01-01,2024-04-01,3,306,9
200034,2024-01-01,2024-01-01,0,748,10
200034,2024-01-01,2024-02-01,1,841,7
200034,2024-01-01,2024-03-01,2,736,8
200035,2024-01-01,2024-01-01,0,988,9
200035,2024-01-01,2024-02-01,1,668,9
200036,2024-01-01,2024-01-01,0,775,11
200036,2024-01-01,2024-02-01,1,863,7
200036,2024-01-01,2024-03-01,2,713,5
200036,2024-01-01,2024-04-01,3,640,8
200036,2024-01-01,2024-05-01,4,719,6
200036,2024-01-01,2024-06-01,5,686,10
200037,2024-01-01,2024-01-01,0,113,12
200037,2024-01-01,2024-02-01,1,303,9
200037,2024-01-01,2024-03-01,2,367,6
200038,2024-01-01,2024-01-01,0,435,7
200038,2024-01-01,2024-02-01,1,568,6
200039,2024-01-01,2024-01-01,0,328,7
200039,2024-01-01,2024-02-01,1,641,7
200039,2024-01-01,2024-03-01,2,171,8
200039,2024-01-01,2024-04-01,3,342,6
200039,2024-01-01,2024-05-01,4,378,4
200039,2024-01-01,2024-06-01,5,232,1
200039,2024-01-01,2024-07-01,6,358,7
200040,2024-01-01,2024-01-01,0,397,9
200040,2024-01-01,2024-02-01,1,514,4
200041,2024-01-01,2024-01-01,0,524,8
200042,2024-01-01,2024-01-01,0,239,7
200042,2024-01-01,2024-02-01,1,291,9
200042,2024-01-01,2024-03-01,2,146,8
200042,2024-01-01,2024-04-01,3,391,8
200043,2024-01-01,2024-01-01,0,475,8
200043,2024-01-01,2024-02-01,1,329,7
200043,2024-01-01,2024-03-01,2,351,5
200043,2024-01-01,2024-04-01,3,526,5
200044,2024-01-01,2024-01-01,0,862,9
200044,2024-01-01,2024-02-01,1,722,7
200044,2024-01-01,2024-03-01,2,659,6
200044,2024-01-01,2024-04-01,3,570,6
200044,2024-01-01,2024-05-01,4,593,5
200045,2024-01-01,2024-01-01,0,340,9
200045,2024-01-01,2024-02-01,1,285,9
200045,2024-01-01,2024-03-01,2,392,10
200045,2024-01-01,2024-04-01,3,158,8
200045,2024-01-01,2024-05-01,4,313,6
200045,2024-01-01,2024-06-01,5,394,8
200045,2024-01-01,2024-07-01,6,192,7
200046,2024-01-01,2024-01-01,0,705,6
200046,2024-01-01,2024-02-01,1,859,7
200046,2024-01-01,2024-03-01,2,571,7
200047,2024-01-01,2024-01-01,0,720,11
200047,2024-01-01,2024-02-01,1,613,10
200048,2024-01-01,2024-01-01,0,433,8
200048,2024-01-01,2024-02-01,1,171,10
200048,2024-01-01,2024-03-01,2,445,8
200048,2024-01-01,2024-04-01,3,183,9
200048,2024-01-01,2024-05-01,4,163,4
200049,2024-01-01,2024-01-01,0,221,7
200049,2024-01-01,2024-02-01,1,165,8
200049,2024-01-01,2024-03-01,2,258,8
200050,2024-01-01,2024-01-01,0,914,9
200050,2024-01-01,2024-02-01,1,884,8
200051,2024-01-01,2024-01-01,0,426,11
200051,2024-01-01,2024-02-01,1,677,9
200051,2024-01-01,2024-03-01,2,679,7
200051,2024-01-01,2024-04-01,3,453,4
200052,2024-01-01,2024-01-01,0,797,6
200052,2024-01-01,2024-02-01,1,640,8
200052,2024-01-01,2024-03-01,2,826,9
200053,2024-01-01,2024-01-01,0,510,8
200053,2024-01-01,2024-02-01,1,466,11
200054,2024-01-01,2024-01-01,0,595,7
200054,2024-01-01,2024-02-01,1,444,7
200054,2024-01-01,2024-03-01,2,518,7
200055,2024-01-01,2024-01-01,0,154,8
200055,2024-01-01,2024-02-01,1,409,10
200055,2024-01-01,2024-03-01,2,196,8
200055,2024-01-01,2024-04-01,3,330,9
200056,2024-01-01,2024-01-01,0,443,8
200056,2024-01-01,2024-02-01,1,429,9
200057,2024-01-01,2024-01-01,0,442,9
200058,2024-01-01,2024-01-01,0,291,9
200059,2024-01-01,2024-01-01,0,758,6
200059,2024-01-01,2024-02-01,1,749,9
200059,2024-01-01,2024-03-01,2,785,7
200059,2024-01-01,2024-04-01,3,512,5
200059,2024-01-01,2024-05-01,4,484,4
200060,2024-01-01,2024-01-01,0,920,8
200060,2024-01-01,2024-02-01,1,811,8
200060,2024-01-01,2024-03-01,2,845,7
200061,2024-01-01,2024-01-01,0,262,10
200061,2024-01-01,2024-02-01,1,461,6
200061,2024-01-01,2024-03-01,2,330,4
200062,2024-01-01,2024-01-01,0,975,6
200062,2024-01-01,2024-02-01,1,950,7
200062,2024-01-01,2024-03-01,2,727,9
200062,2024-01-01,2024-04-01,3,776,5
200063,2024-01-01,2024-01-01,0,525,12
200064,2024-01-01,2024-01-01,0,891,9
200064,2024-01-01,2024-02-01,1,640,10
200064,2024-01-01,2024-03-01,2,739,6
200064,2024-01-01,2024-04-01,3,632,3
200065,2024-01-01,2024-01-01,0,533,4
200065,2024-01-01,2024-02-01,1,604,6
200065,2024-01-01,2024-03-01,2,405,6
200065,2024-01-01,2024-04-01,3,352,8
200066,2024-01-01,2024-01-01,0,202,11
200066,2024-01-01,2024-02-01,1,187,8
200066,2024-01-01,2024-03-01,2,240,9
200067,2024-01-01,2024-01-01,0,726,7
200067,2024-01-01,2024-02-01,1,903,5
200068,2024-01-01,2024-01-01,0,175,5
200068,2024-01-01,2024-02-01,1,204,10
200068,2024-01-01,2024-03-01,2,178,9
200069,2024-01-01,2024-01-01,0,886,12
200070,2024-01-01,2024-01-01,0,798,9
200070,2024-01-01,2024-02-01,1,828,8
200070,2024-01-01,2024-03-01,2,858,6
200070,2024-01-01,2024-04-01,3,674,7
200070,2024-01-01,2024-05-01,4,861,7
200070,2024-01-01,2024-06-01,5,661,1
200071,2024-01-01,2024-01-01,0,725,9
200071,2024-01-01,2024-02-01,1,753,8
200072,2024-01-01,2024-01-01,0,949,11
200072,2024-01-01,2024-02-01,1,837,6
200072,2024-01-01,2024-03-01,2,846,8
200072,2024-01-01,2024-04-01,3,825,8
200073,2024-01-01,2024-01-01,0,298,11
200073,2024-01-01,2024-02-01,1,311,10
200074,2024-01-01,2024-01-01,0,494,8
200074,2024-01-01,2024-02-01,1,602,7
200074,2024-01-01,2024-03-01,2,419,8
200074,2024-01-01,2024-04-01,3,319,2
200075,2024-01-01,2024-01-01,0,182,9
200075,2024-01-01,2024-02-01,1,332,4
200075,2024-01-01,2024-03-01,2,303,4
200076,2024-01-01,2024-01-01,0,92,10
200076,2024-01-01,2024-02-01,1,307,9
200077,2024-01-01,2024-01-01,0,448,6
200077,2024-01-01,2024-02-01,1,499,8
200077,2024-01-01,2024-03-01,2,568,8
200077,2024-01-01,2024-04-01,3,530,6
200078,2024-01-01,2024-01-01,0,607,8
200078,2024-01-01,2024-02-01,1,625,8
200079,2024-01-01,2024-01-01,0,583,8
200079,2024-01-01,2024-02-01,1,340,4
200079,2024-01-01,2024-03-01,2,445,8
200080,2024-01-01,2024-01-01,0,756,6
200080,2024-01-01,2024-02-01,1,682,6
200080,2024-01-01,2024-03-01,2,633,5
200080,2024-01-01,2024-04-01,3,640,11
200080,2024-01-01,2024-05-01,4,655,4
200080,2024-01-01,2024-06-01,5,658,4
200081,2024-01-01,2024-01-01,0,532,7
200081,2024-01-01,2024-02-01,1,537,7
200081,2024-01-01,2024-03-01,2,361,9
200081,2024-01-01,2024-04-01,3,319,10
200081,2024-01-01,2024-05-01,4,459,8
200081,2024-01-01,2024-06-01,5,327,7
200082,2024-01-01,2024-01-01,0,662,12
200082,2024-01-01,2024-02-01,1,714,5
200082,2024-01-01,2024-03-01,2,522,6
200083,2024-01-01,2024-01-01,0,738,9
200083,2024-01-01,2024-02-01,1,659,7
200083,2024-01-01,2024-03-01,2,586,8
200083,2024-01-01,2024-04-01,3,516,6
200084,2024-01-01,2024-01-01,0,606,9
200084,2024-01-01,2024-02-01,1,436,9
200084,2024-01-01,2024-03-01,2,484,11
200084,2024-01-01,2024-04-01,3,510,9
200085,2024-01-01,2024-01-01,0,180,11
200085,2024-01-01,2024-02-01,1,272,7
200085,2024-01-01,2024-03-01,2,316,7
200086,2024-01-01,2024-01-01,0,598,7
200086,2024-01-01,2024-02-01,1,538,7
200086,2024-01-01,2024-03-01,2,809,7
200086,2024-01-01,2024-04-01,3,547,5
200086,2024-01-01,2024-05-01,4,682,5
200087,2024-01-01,2024-01-01,0,445,9
200087,2024-01-01,2024-02-01,1,239,6
200087,2024-01-01,2024-03-01,2,236,9
200087,2024-01-01,2024-04-01,3,421,7
200088,2024-01-01,2024-01-01,0,474,6
200089,2024-01-01,2024-01-01,0,863,9
200089,2024-01-01,2024-02-01,1,842,7
200090,2024-01-01,2024-01-01,0,859,7
200090,2024-01-01,2024-02-01,1,876,9
200090,2024-01-01,2024-03-01,2,549,2
200090,2024-01-01,2024-04-01,3,681,9
200091,2024-01-01,2024-01-01,0,694,8
200092,2024-01-01,2024-01-01,0,166,10
200093,2024-01-01,2024-01-01,0,194,9
200093,2024-01-01,2024-02-01,1,328,9
200094,2024-01-01,2024-01-01,0,288,9
200094,2024-01-01,2024-02-01,1,348,8
200094,2024-01-01,2024-03-01,2,360,8
200094,2024-01-01,2024-04-01,3,474,7
200095,2024-01-01,2024-01-01,0,361,8
200095,2024-01-01,2024-02-01,1,557,10
200096,2024-01-01,2024-01-01,0,285,9
200096,2024-01-01,2024-02-01,1,349,8
200097,2024-01-01,2024-01-01,0,985,8
200097,2024-01-01,2024-02-01,1,967,9
200098,2024-01-01,2024-01-01,0,549,10
200098,2024-01-01,2024-02-01,1,509,4
200098,2024-01-01,2024-03-01,2,364,9
200099,2024-01-01,2024-01-01,0,242,7
200099,2024-01-01,2024-02-01,1,127,11
200099,2024-01-01,2024-03-01,2,169,9
200100,2024-01-01,2024-01-01,0,725,9
200100,2024-01-01,2024-02-01,1,670,7
200100,2024-01-01,2024-03-01,2,469,11
200100,2024-01-01,2024-04-01,3,648,4
200100,2024-01-01,2024-05-01,4,442,8
200100,2024-01-01,2024-06-01,5,494,9
200100,2024-01-01,2024-07-01,6,319,6
200101,2024-01-01,2024-01-01,0,818,12
200101,2024-01-01,2024-02-01,1,533,9
200102,2024-01-01,2024-01-01,0,941,9
200102,2024-01-01,2024-02-01,1,825,9
200102,2024-01-01,2024-03-01,2,548,5
200102,2024-01-01,2024-04-01,3,946,8
200102,2024-01-01,2024-05-01,4,550,4
200103,2024-01-01,2024-01-01,0,615,6
200103,2024-01-01,2024-02-01,1,672,10
200103,2024-01-01,2024-03-01,2,572,5
200104,2024-01-01,2024-01-01,0,607,6
200104,2024-01-01,2024-02-01,1,667,8
200104,2024-01-01,2024-03-01,2,566,8
200105,2024-01-01,2024-01-01,0,450,9
200105,2024-01-01,2024-02-01,1,317,9
200106,2024-01-01,2024-01-01,0,711,8
200107,2024-01-01,2024-01-01,0,632,8
200107,2024-01-01,2024-02-01,1,796,7
200107,2024-01-01,2024-03-01,2,713,8
200107,2024-01-01,2024-04-01,3,700,7
200108,2024-01-01,2024-01-01,0,354,8
200108,2024-01-01,2024-02-01,1,575,6
200108,2024-01-01,2024-03-01,2,513,6
200108,2024-01-01,2024-04-01,3,466,6
200109,2024-01-01,2024-01-01,0,475,8
200110,2024-01-01,2024-01-01,0,243,8
200110,2024-01-01,2024-02-01,1,534,10
200110,2024-01-01,2024-03-01,2,297,6
200110,2024-01-01,2024-04-01,3,201,12
200110,2024-01-01,2024-05-01,4,367,7
200110,2024-01-01,2024-06-01,5,422,10
200111,2024-01-01,2024-01-01,0,368,10
200111,2024-01-01,2024-02-01,1,350,10
200111,2024-01-01,2024-03-01,2,377,8
200111,2024-01-01,2024-04-01,3,389,6
200111,2024-01-01,2024-05-01,4,383,2
200112,2024-01-01,2024-01-01,0,98,10
200112,2024-01-01,2024-02-01,1,358,5
200112,2024-01-01,2024-03-01,2,155,8
200112,2024-01-01,2024-04-01,3,65,6
200113,2024-01-01,2024-01-01,0,301,5
200113,2024-01-01,2024-02-01,1,305,7
200114,2024-01-01,2024-01-01,0,338,9
200115,2024-01-01,2024-01-01,0,932,7
200115,2024-01-01,2024-02-01,1,608,7
200115,2024-01-01,2024-03-01,2,622,4
200116,2024-01-01,2024-01-01,0,242,8
200117,2024-01-01,2024-01-01,0,304,12
200117,2024-01-01,2024-02-01,1,473,6
200117,2024-01-01,2024-03-01,2,361,7
200117,2024-01-01,2024-04-01,3,509,8
200118,2024-01-01,2024-01-01,0,722,10
200118,2024-01-01,2024-02-01,1,730,9
200118,2024-01-01,2024-03-01,2,731,8
200119,2024-01-01,2024-01-01,0,827,12
200119,2024-01-01,2024-02-01,1,597,8
200119,2024-01-01,2024-03-01,2,724,12
200119,2024-01-01,2024-04-01,3,628,7
200120,2024-01-01,2024-01-01,0,771,8
200121,2024-01-01,2024-01-01,0,693,9
200122,2024-01-01,2024-01-01,0,466,6
200122,2024-01-01,2024-02-01,1,485,10
200123,2024-01-01,2024-01-01,0,846,8
200123,2024-01-01,2024-02-01,1,844,10
200124,2024-01-01,2024-01-01,0,766,9
200124,2024-01-01,2024-02-01,1,540,13
200124,2024-01-01,2024-03-01,2,245,7
200124,2024-01-01,2024-04-01,3,488,4
200125,2024-01-01,2024-01-01,0,139,8
200125,2024-01-01,2024-02-01,1,266,10
200125,2024-01-01,2024-03-01,2,292,6
200125,2024-01-01,2024-04-01,3,20,11
200126,2024-01-01,2024-01-01,0,614,7
200126,2024-01-01,2024-02-01,1,372,10
200126,2024-01-01,2024-03-01,2,373,8
200127,2024-01-01,2024-01-01,0,547,7
200127,2024-01-01,2024-02-01,1,513,11
200127,2024-01-01,2024-03-01,2,486,7
200128,2024-01-01,2024-01-01,0,404,7
200128,2024-01-01,2024-02-01,1,437,8
200129,2024-01-01,2024-01-01,0,805,9
200129,2024-01-01,2024-02-01,1,740,6
200129,2024-01-01,2024-03-01,2,741,6
200130,2024-01-01,2024-01-01,0,953,7
200130,2024-01-01,2024-02-01,1,917,6
200130,2024-01-01,2024-03-01,2,1020,8
200130,2024-01-01,2024-04-01,3,901,9
200130,2024-01-01,2024-05-01,4,468,6
200131,2024-01-01,2024-01-01,0,135,11
200131,2024-01-01,2024-02-01,1,376,11
200132,2024-01-01,2024-01-01,0,125,9
200132,2024-01-01,2024-02-01,1,247,10
200133,2024-01-01,2024-01-01,0,862,8
200133,2024-01-01,2024-02-01,1,742,8
200133,2024-01-01,2024-03-01,2,836,8
200133,2024-01-01,2024-04-01,3,679,5
200133,2024-01-01,2024-05-01,4,713,8
200134,2024-01-01,2024-01-01,0,512,11
200134,2024-01-01,2024-02-01,1,910,8
200134,2024-01-01,2024-03-01,2,874,7
200134,2024-01-01,2024-04-01,3,743,3
200134,2024-01-01,2024-05-01,4,640,9
200134,2024-01-01,2024-06-01,5,524,8
200134,2024-01-01,2024-07-01,6,581,6
200135,2024-01-01,2024-01-01,0,324,8
200136,2024-01-01,2024-01-01,0,869,8
200137,2024-01-01,2024-01-01,0,369,12
200137,2024-01-01,2024-02-01,1,196,7
200137,2024-01-01,2024-03-01,2,345,5
200137,2024-01-01,2024-04-01,3,241,7
200137,2024-01-01,2024-05-01,4,542,7
200137,2024-01-01,2024-06-01,5,238,3
200137,2024-01-01,2024-07-01,6,329,4
200138,2024-01-01,2024-01-01,0,179,10
200139,2024-01-01,2024-01-01,0,640,7
200139,2024-01-01,2024-02-01,1,674,7
200139,2024-01-01,2024-03-01,2,667,5
200139,2024-01-01,2024-04-01,3,626,7
200139,2024-01-01,2024-05-01,4,451,6
200139,2024-01-01,2024-06-01,5,559,6
200140,2024-01-01,2024-01-01,0,236,8
200141,2024-01-01,2024-01-01,0,825,6
200141,2024-01-01,2024-02-01,1,531,5
200141,2024-01-01,2024-03-01,2,906,6
200141,2024-01-01,2024-04-01,3,736,7
200142,2024-01-01,2024-01-01,0,574,11
200142,2024-01-01,2024-02-01,1,712,12
200142,2024-01-01,2024-03-01,2,462,8
200143,2024-01-01,2024-01-01,0,726,11
200143,2024-01-01,2024-02-01,1,641,8
200144,2024-01-01,2024-01-01,0,516,10
200145,2024-01-01,2024-01-01,0,295,8
200145,2024-01-01,2024-02-01,1,170,6
200145,2024-01-01,2024-03-01,2,338,9
200146,2024-01-01,2024-01-01,0,538,7
200146,2024-01-01,2024-02-01,1,667,6
200147,2024-01-01,2024-01-01,0,182,11
200147,2024-01-01,2024-02-01,1,291,11
200147,2024-01-01,2024-03-01,2,277,11
200148,2024-01-01,2024-01-01,0,387,11
200148,2024-01-01,2024-02-01,1,517,9
200148,2024-01-01,2024-03-01,2,401,8
200148,2024-01-01,2024-04-01,3,437,5
200149,2024-01-01,2024-01-01,0,766,8
200149,2024-01-01,2024-02-01,1,888,5
200149,2024-01-01,2024-03-01,2,995,8
200150,2024-01-01,2024-01-01,0,191,9
200150,2024-01-01,2024-02-01,1,348,11
200150,2024-01-01,2024-03-01,2,434,6
200150,2024-01-01,2024-04-01,3,475,6
200151,2024-01-01,2024-01-01,0,191,8
200152,2024-01-01,2024-01-01,0,692,8
200152,2024-01-01,2024-02-01,1,1229,6
200152,2024-01-01,2024-03-01,2,823,7
200153,2024-01-01,2024-01-01,0,605,5
200154,2024-01-01,2024-01-01,0,420,8
200154,2024-01-01,2024-02-01,1,415,8
200155,2024-01-01,2024-01-01,0,431,8
200155,2024-01-01,2024-02-01,1,654,11
200156,2024-01-01,2024-01-01,0,803,9
200156,2024-01-01,2024-02-01,1,782,5
200156,2024-01-01,2024-03-01,2,857,8
200157,2024-01-01,2024-01-01,0,998,9
200157,2024-01-01,2024-02-01,1,704,10
200157,2024-01-01,2024-03-01,2,754,6
200157,2024-01-01,2024-04-01,3,504,9
200157,2024-01-01,2024-05-01,4,614,10
200158,2024-01-01,2024-01-01,0,950,6
200158,2024-01-01,2024-02-01,1,876,7
200158,2024-01-01,2024-03-01,2,757,10
200158,2024-01-01,2024-04-01,3,709,8
200158,2024-01-01,2024-05-01,4,850,8
200158,2024-01-01,2024-06-01,5,780,8
200159,2024-01-01,2024-01-01,0,355,7
200160,2024-01-01,2024-01-01,0,410,8
200160,2024-01-01,2024-02-01,1,354,6
200161,2024-01-01,2024-01-01,0,742,8
200162,2024-01-01,2024-01-01,0,582,6
200162,2024-01-01,2024-02-01,1,921,10
200162,2024-01-01,2024-03-01,2,644,7
200162,2024-01-01,2024-04-01,3,762,8
200162,2024-01-01,2024-05-01,4,667,7
200162,2024-01-01,2024-06-01,5,456,5
200163,2024-01-01,2024-01-01,0,256,6
200164,2024-01-01,2024-01-01,0,751,9
200165,2024-01-01,2024-01-01,0,390,8
200166,2024-01-01,2024-01-01,0,374,11
200166,2024-01-01,2024-02-01,1,291,7
200166,2024-01-01,2024-03-01,2,502,8
200166,2024-01-01,2024-04-01,3,303,8
200166,2024-01-01,2024-05-01,4,430,8
200167,2024-01-01,2024-01-01,0,986,8
200167,2024-01-01,2024-02-01,1,704,9
200167,2024-01-01,2024-03-01,2,658,8
200168,2024-01-01,2024-01-01,0,710,6
200168,2024-01-01,2024-02-01,1,476,7
200169,2024-01-01,2024-01-01,0,674,5
200170,2024-01-01,2024-01-01,0,403,8
200170,2024-01-01,2024-02-01,1,700,8
200171,2024-01-01,2024-01-01,0,536,10
200172,2024-01-01,2024-01-01,0,446,6
200172,2024-01-01,2024-02-01,1,367,11
200172,2024-01-01,2024-03-01,2,405,5
200173,2024-01-01,2024-01-01,0,625,8
200173,2024-01-01,2024-02-01,1,610,9
200174,2024-01-01,2024-01-01,0,282,9
200174,2024-01-01,2024-02-01,1,263,10
200174,2024-01-01,2024-03-01,2,270,10
200174,2024-01-01,2024-04-01,3,203,6
200175,2024-01-01,2024-01-01,0,420,6
200175,2024-01-01,2024-02-01,1,465,5
200175,2024-01-01,2024-03-01,2,269,5
200175,2024-01-01,2024-04-01,3,555,4
200176,2024-01-01,2024-01-01,0,895,8
200176,2024-01-01,2024-02-01,1,748,11
200176,2024-01-01,2024-03-01,2,846,7
200176,2024-01-01,2024-04-01,3,702,6
200177,2024-01-01,2024-01-01,0,674,11
200178,2024-01-01,2024-01-01,0,512,6
200178,2024-01-01,2024-02-01,1,532,8
200179,2024-01-01,2024-01-01,0,548,8
200179,2024-01-01,2024-02-01,1,542,6
200179,2024-01-01,2024-03-01,2,738,8
200179,2024-01-01,2024-04-01,3,483,7
200179,2024-01-01,2024-05-01,4,559,4
200180,2024-01-01,2024-01-01,0,302,11
200181,2024-01-01,2024-01-01,0,421,13
200182,2024-01-01,2024-01-01,0,174,10
200182,2024-01-01,2024-02-01,1,0,8
200183,2024-01-01,2024-01-01,0,1070,10
200184,2024-01-01,2024-01-01,0,225,7
200184,2024-01-01,2024-02-01,1,370,8
200184,2024-01-01,2024-03-01,2,486,8
200185,2024-01-01,2024-01-01,0,241,11
200186,2024-01-01,2024-01-01,0,766,6
200186,2024-01-01,2024-02-01,1,725,8
200187,2024-01-01,2024-01-01,0,654,9
200187,2024-01-01,2024-02-01,1,271,5
200188,2024-01-01,2024-01-01,0,840,9
200189,2024-01-01,2024-01-01,0,83,11
200189,2024-01-01,2024-02-01,1,214,6
200189,2024-01-01,2024-03-01,2,0,7
200190,2024-01-01,2024-01-01,0,506,8
200190,2024-01-01,2024-02-01,1,480,4
200191,2024-01-01,2024-01-01,0,338,12
200191,2024-01-01,2024-02-01,1,306,5
200191,2024-01-01,2024-03-01,2,217,7
200192,2024-01-01,2024-01-01,0,308,8
200192,2024-01-01,2024-02-01,1,350,7
200193,2024-01-01,2024-01-01,0,498,8
200194,2024-01-01,2024-01-01,0,140,9
200195,2024-01-01,2024-01-01,0,625,10
200195,2024-01-01,2024-02-01,1,537,9
200195,2024-01-01,2024-03-01,2,655,8
200196,2024-01-01,2024-01-01,0,869,8
200196,2024-01-01,2024-02-01,1,710,10
200196,2024-01-01,2024-03-01,2,732,7
200197,2024-01-01,2024-01-01,0,680,11
200198,2024-01-01,2024-01-01,0,579,12
200198,2024-01-01,2024-02-01,1,690,7
200198,2024-01-01,2024-03-01,2,569,7
200198,2024-01-01,2024-04-01,3,500,7
200199,2024-01-01,2024-01-01,0,603,10
200199,2024-01-01,2024-02-01,1,501,3
200199,2024-01-01,2024-03-01,2,338,8
200199,2024-01-01,2024-04-01,3,509,6
200199,2024-01-01,2024-05-01,4,664,7
200200,2024-01-01,2024-01-01,0,721,10
200200,2024-01-01,2024-02-01,1,591,9
200200,2024-01-01,2024-03-01,2,508,9
200200,2024-01-01,2024-04-01,3,709,9
200201,2024-01-01,2024-01-01,0,448,8
